基本母體矩陣,,,
KIN,矩陣位置,八度音符,對應腦部
41,V1:H1,Do,右後腦
42,V1:H2,Re,右後腦
43,V1:H3,Mi,右後腦
44,V1:H4,Fa,右後腦
45,V1:H5,Sol,右後腦
46,V1:H6,La,右後腦
47,V1:H7,Si,右後腦
48,V1:H8,Do',右腦正中間
49,V1:H9,Do,右腦正中間
50,V1:H10,Re,右腦正中間
51,V1:H11,Mi,右腦正中間
52,V1:H12,Fa,右腦正中間
53,V1:H13,Sol,右腦正中間
54,V1:H14,La,右腦正中間
55,V1:H15,Si,右前腦
56,V1:H16,Do',右前腦
57,V1:H17,Do,右前腦
58,V1:H18,Re,右前腦
59,V1:H19,Mi,右前腦
60,V1:H20,Fa,右前腦
61,V1:H21,Sol,右前腦
40,V2:H1,Do',右後腦
117,V2:H2,Sol,右後腦
118,V2:H3,La,右後腦
119,V2:H4,Si,右後腦
120,V2:H5,Do',右後腦
121,V2:H6,Do,右後腦
122,V2:H7,Re,右後腦
123,V2:H8,Mi,右腦正中間
124,V2:H9,Fa,右腦正中間
125,V2:H10,Sol,右腦正中間
126,V2:H11,La,右腦正中間
127,V2:H12,Si,右腦正中間
128,V2:H13,Do',右腦正中間
129,V2:H14,Do,右腦正中間
130,V2:H15,Re,右前腦
131,V2:H16,Mi,右前腦
132,V2:H17,Fa,右前腦
133,V2:H18,Sol,右前腦
134,V2:H19,La,右前腦
135,V2:H20,Si,右前腦
62,V2:H21,La,右前腦
39,V3:H1,Si,右後腦
116,V3:H2,Fa,右後腦
185,V3:H3,Do,右後腦
186,V3:H4,Re,右後腦
187,V3:H5,Mi,右後腦
188,V3:H6,Fa,右後腦
189,V3:H7,Sol,右後腦
190,V3:H8,La,右腦正中間
191,V3:H9,Si,右腦正中間
192,V3:H10,Do',右腦正中間
193,V3:H11,Do,右腦正中間
194,V3:H12,Re,右腦正中間
195,V3:H13,Mi,右腦正中間
196,V3:H14,Fa,右腦正中間
197,V3:H15,Sol,右前腦
198,V3:H16,La,右前腦
199,V3:H17,Si,右前腦
200,V3:H18,Do',右前腦
201,V3:H19,Do,右前腦
136,V3:H20,Do',右前腦
63,V3:H21,Si,右前腦
38,V4:H1,La,右後腦
115,V4:H2,Mi,右後腦
184,V4:H3,Do',右後腦
245,V4:H4,Sol,右後腦
246,V4:H5,La,右後腦
247,V4:H6,Si,右後腦
248,V4:H7,Do',右後腦
249,V4:H8,Do,右腦正中間
250,V4:H9,Re,右腦正中間
251,V4:H10,Mi,右腦正中間
252,V4:H11,Fa,右腦正中間
253,V4:H12,Sol,右腦正中間
254,V4:H13,La,右腦正中間
255,V4:H14,Si,右腦正中間
256,V4:H15,Do',右前腦
257,V4:H16,Do,右前腦
258,V4:H17,Re,右前腦
259,V4:H18,Mi,右前腦
202,V4:H19,Re,右前腦
137,V4:H20,Do,右前腦
64,V4:H21,Do',右前腦
37,V5:H1,Sol,右後腦
114,V5:H2,Re,右後腦
183,V5:H3,Si,右後腦
244,V5:H4,Fa,右後腦
297,V5:H5,Do,右後腦
298,V5:H6,Re,右後腦
299,V5:H7,Mi,右後腦
300,V5:H8,Fa,右腦正中間
301,V5:H9,Sol,右腦正中間
302,V5:H10,La,右腦正中間
303,V5:H11,Si,右腦正中間
304,V5:H12,Do',右腦正中間
305,V5:H13,Do,右腦正中間
306,V5:H14,Re,右腦正中間
307,V5:H15,Mi,右前腦
308,V5:H16,Fa,右前腦
309,V5:H17,Sol,右前腦
260,V5:H18,Fa,右前腦
203,V5:H19,Mi,右前腦
138,V5:H20,Re,右前腦
65,V5:H21,Do,右前腦
36,V6:H1,Fa,右後腦
113,V6:H2,Do,右後腦
182,V6:H3,La,右後腦
243,V6:H4,Mi,右後腦
296,V6:H5,Do',右後腦
341,V6:H6,Sol,右後腦
342,V6:H7,La,右後腦
343,V6:H8,Si,右腦正中間
344,V6:H9,Do',右腦正中間
345,V6:H10,Do,右腦正中間
346,V6:H11,Re,右腦正中間
347,V6:H12,Mi,右腦正中間
348,V6:H13,Fa,右腦正中間
349,V6:H14,Sol,右腦正中間
350,V6:H15,La,右前腦
351,V6:H16,Si,右前腦
310,V6:H17,La,右前腦
261,V6:H18,Sol,右前腦
204,V6:H19,Fa,右前腦
139,V6:H20,Mi,右前腦
66,V6:H21,Re,右前腦
35,V7:H1,Mi,右後腦
112,V7:H2,Do',右後腦
181,V7:H3,Sol,右後腦
242,V7:H4,Re,右後腦
295,V7:H5,Si,右後腦
340,V7:H6,Fa,右後腦
377,V7:H7,Do,右後腦
378,V7:H8,Re,右腦正中間
379,V7:H9,Mi,右腦正中間
380,V7:H10,Fa,右腦正中間
381,V7:H11,Sol,右腦正中間
382,V7:H12,La,右腦正中間
383,V7:H13,Si,右腦正中間
384,V7:H14,Do',右腦正中間
385,V7:H15,Do,右前腦
352,V7:H16,Do',右前腦
311,V7:H17,Si,右前腦
262,V7:H18,La,右前腦
205,V7:H19,Sol,右前腦
140,V7:H20,Fa,右前腦
67,V7:H21,Mi,右前腦
34,V8:H1,Re,後腦正中間
111,V8:H2,Si,後腦正中間
180,V8:H3,Fa,後腦正中間
241,V8:H4,Do,後腦正中間
294,V8:H5,La,後腦正中間
339,V8:H6,Mi,後腦正中間
376,V8:H7,Do',後腦正中間
405,V8:H8,Sol,腦正中間
406,V8:H9,La,腦正中間
407,V8:H10,Si,腦正中間
408,V8:H11,Do',腦正中間
409,V8:H12,Do,腦正中間
410,V8:H13,Re,腦正中間
411,V8:H14,Mi,腦正中間
386,V8:H15,Re,前腦正中間
353,V8:H16,Do,前腦正中間
312,V8:H17,Do',前腦正中間
263,V8:H18,Si,前腦正中間
206,V8:H19,La,前腦正中間
141,V8:H20,Sol,前腦正中間
68,V8:H21,Fa,前腦正中間
33,V9:H1,Do,後腦正中間
110,V9:H2,La,後腦正中間
179,V9:H3,Mi,後腦正中間
240,V9:H4,Do',後腦正中間
293,V9:H5,Sol,後腦正中間
338,V9:H6,Re,後腦正中間
375,V9:H7,Si,後腦正中間
404,V9:H8,Fa,腦正中間
425,V9:H9,Do,腦正中間
426,V9:H10,Re,腦正中間
427,V9:H11,Mi,腦正中間
428,V9:H12,Fa,腦正中間
429,V9:H13,Sol,腦正中間
412,V9:H14,Fa,腦正中間
387,V9:H15,Mi,前腦正中間
354,V9:H16,Re,前腦正中間
313,V9:H17,Do,前腦正中間
264,V9:H18,Do',前腦正中間
207,V9:H19,Si,前腦正中間
142,V9:H20,La,前腦正中間
69,V9:H21,Sol,前腦正中間
32,V10:H1,Do',後腦正中間
109,V10:H2,Sol,後腦正中間
178,V10:H3,Re,後腦正中間
239,V10:H4,Si,後腦正中間
292,V10:H5,Fa,後腦正中間
337,V10:H6,Do,後腦正中間
374,V10:H7,La,後腦正中間
403,V10:H8,Mi,腦正中間
424,V10:H9,Do',腦正中間
437,V10:H10,Sol,腦正中間
438,V10:H11,La,腦正中間
439,V10:H12,Si,腦正中間
430,V10:H13,La,腦正中間
413,V10:H14,Sol,腦正中間
388,V10:H15,Fa,前腦正中間
355,V10:H16,Mi,前腦正中間
314,V10:H17,Re,前腦正中間
265,V10:H18,Do,前腦正中間
208,V10:H19,Do',前腦正中間
143,V10:H20,Si,前腦正中間
70,V10:H21,La,前腦正中間
31,V11:H1,Si,後腦正中間
108,V11:H2,Fa,後腦正中間
177,V11:H3,Do,後腦正中間
238,V11:H4,La,後腦正中間
291,V11:H5,Mi,後腦正中間
336,V11:H6,Do',後腦正中間
373,V11:H7,Sol,後腦正中間
402,V11:H8,Re,腦正中間
423,V11:H9,Si,腦正中間
436,V11:H10,Fa,腦正中間
441,V11:H11,Do,腦正中間
440,V11:H12,Do',腦正中間
431,V11:H13,Si,腦正中間
414,V11:H14,La,腦正中間
389,V11:H15,Sol,前腦正中間
356,V11:H16,Fa,前腦正中間
315,V11:H17,Mi,前腦正中間
266,V11:H18,Re,前腦正中間
209,V11:H19,Do,前腦正中間
144,V11:H20,Do',前腦正中間
71,V11:H21,Si,前腦正中間
30,V12:H1,La,後腦正中間
107,V12:H2,Mi,後腦正中間
176,V12:H3,Do',後腦正中間
237,V12:H4,Sol,後腦正中間
290,V12:H5,Re,後腦正中間
335,V12:H6,Si,後腦正中間
372,V12:H7,Fa,後腦正中間
401,V12:H8,Do,腦正中間
422,V12:H9,La,腦正中間
435,V12:H10,Mi,腦正中間
434,V12:H11,Re,腦正中間
433,V12:H12,Do,腦正中間
432,V12:H13,Do',腦正中間
415,V12:H14,Si,腦正中間
390,V12:H15,La,前腦正中間
357,V12:H16,Sol,前腦正中間
316,V12:H17,Fa,前腦正中間
267,V12:H18,Mi,前腦正中間
210,V12:H19,Re,前腦正中間
145,V12:H20,Do,前腦正中間
72,V12:H21,Do',前腦正中間
29,V13:H1,Sol,後腦正中間
106,V13:H2,Re,後腦正中間
175,V13:H3,Si,後腦正中間
236,V13:H4,Fa,後腦正中間
289,V13:H5,Do,後腦正中間
334,V13:H6,La,後腦正中間
371,V13:H7,Mi,後腦正中間
400,V13:H8,Do',腦正中間
421,V13:H9,Sol,腦正中間
420,V13:H10,Fa,腦正中間
419,V13:H11,Mi,腦正中間
418,V13:H12,Re,腦正中間
417,V13:H13,Do,腦正中間
416,V13:H14,Do',腦正中間
391,V13:H15,Si,前腦正中間
358,V13:H16,La,前腦正中間
317,V13:H17,Sol,前腦正中間
268,V13:H18,Fa,前腦正中間
211,V13:H19,Mi,前腦正中間
146,V13:H20,Re,前腦正中間
73,V13:H21,Do,前腦正中間
28,V14:H1,Fa,後腦正中間
105,V14:H2,Do,後腦正中間
174,V14:H3,La,後腦正中間
235,V14:H4,Mi,後腦正中間
288,V14:H5,Do',後腦正中間
333,V14:H6,Sol,後腦正中間
370,V14:H7,Re,後腦正中間
399,V14:H8,Si,腦正中間
398,V14:H9,La,腦正中間
397,V14:H10,Sol,腦正中間
396,V14:H11,Fa,腦正中間
395,V14:H12,Mi,腦正中間
394,V14:H13,Re,腦正中間
393,V14:H14,Do,腦正中間
392,V14:H15,Do',前腦正中間
359,V14:H16,Si,前腦正中間
318,V14:H17,La,前腦正中間
269,V14:H18,Sol,前腦正中間
212,V14:H19,Fa,前腦正中間
147,V14:H20,Mi,前腦正中間
74,V14:H21,Re,前腦正中間
27,V15:H1,Mi,左後腦
104,V15:H2,Do',左後腦
173,V15:H3,Sol,左後腦
234,V15:H4,Re,左後腦
287,V15:H5,Si,左後腦
332,V15:H6,Fa,左後腦
369,V15:H7,Do,左後腦
368,V15:H8,Do',左腦正中間
367,V15:H9,Si,左腦正中間
366,V15:H10,La,左腦正中間
365,V15:H11,Sol,左腦正中間
364,V15:H12,Fa,左腦正中間
363,V15:H13,Mi,左腦正中間
362,V15:H14,Re,左腦正中間
361,V15:H15,Do,左前腦
360,V15:H16,Do',左前腦
319,V15:H17,Si,左前腦
270,V15:H18,La,左前腦
213,V15:H19,Sol,左前腦
148,V15:H20,Fa,左前腦
75,V15:H21,Mi,左前腦
26,V16:H1,Re,左後腦
103,V16:H2,Si,左後腦
172,V16:H3,Fa,左後腦
233,V16:H4,Do,左後腦
286,V16:H5,La,左後腦
331,V16:H6,Mi,左後腦
330,V16:H7,Re,左後腦
329,V16:H8,Do,左腦正中間
328,V16:H9,Do',左腦正中間
327,V16:H10,Si,左腦正中間
326,V16:H11,La,左腦正中間
325,V16:H12,Sol,左腦正中間
324,V16:H13,Fa,左腦正中間
323,V16:H14,Mi,左腦正中間
322,V16:H15,Re,左前腦
321,V16:H16,Do,左前腦
320,V16:H17,Do',左前腦
271,V16:H18,Si,左前腦
214,V16:H19,La,左前腦
149,V16:H20,Sol,左前腦
76,V16:H21,Fa,左前腦
25,V17:H1,Do,左後腦
102,V17:H2,La,左後腦
171,V17:H3,Mi,左後腦
232,V17:H4,Do',左後腦
285,V17:H5,Sol,左後腦
284,V17:H6,Fa,左後腦
283,V17:H7,Mi,左後腦
282,V17:H8,Re,左腦正中間
281,V17:H9,Do,左腦正中間
280,V17:H10,Do',左腦正中間
279,V17:H11,Si,左腦正中間
278,V17:H12,La,左腦正中間
277,V17:H13,Sol,左腦正中間
276,V17:H14,Fa,左腦正中間
275,V17:H15,Mi,左前腦
274,V17:H16,Re,左前腦
273,V17:H17,Do,左前腦
272,V17:H18,Do',左前腦
215,V17:H19,Si,左前腦
150,V17:H20,La,左前腦
77,V17:H21,Sol,左前腦
24,V18:H1,Do',左後腦
101,V18:H2,Sol,左後腦
170,V18:H3,Re,左後腦
231,V18:H4,Si,左後腦
230,V18:H5,La,左後腦
229,V18:H6,Sol,左後腦
228,V18:H7,Fa,左後腦
227,V18:H8,Mi,左腦正中間
226,V18:H9,Re,左腦正中間
225,V18:H10,Do,左腦正中間
224,V18:H11,Do',左腦正中間
223,V18:H12,Si,左腦正中間
222,V18:H13,La,左腦正中間
221,V18:H14,Sol,左腦正中間
220,V18:H15,Fa,左前腦
219,V18:H16,Mi,左前腦
218,V18:H17,Re,左前腦
217,V18:H18,Do,左前腦
216,V18:H19,Do',左前腦
151,V18:H20,Si,左前腦
78,V18:H21,La,左前腦
23,V19:H1,Si,左後腦
100,V19:H2,Fa,左後腦
169,V19:H3,Do,左後腦
168,V19:H4,Do',左後腦
167,V19:H5,Si,左後腦
166,V19:H6,La,左後腦
165,V19:H7,Sol,左後腦
164,V19:H8,Fa,左腦正中間
163,V19:H9,Mi,左腦正中間
162,V19:H10,Re,左腦正中間
161,V19:H11,Do,左腦正中間
160,V19:H12,Do',左腦正中間
159,V19:H13,Si,左腦正中間
158,V19:H14,La,左腦正中間
157,V19:H15,Sol,左前腦
156,V19:H16,Fa,左前腦
155,V19:H17,Mi,左前腦
154,V19:H18,Re,左前腦
153,V19:H19,Do,左前腦
152,V19:H20,Do',左前腦
79,V19:H21,Si,左前腦
22,V20:H1,La,左後腦
99,V20:H2,Mi,左後腦
98,V20:H3,Re,左後腦
97,V20:H4,Do,左後腦
96,V20:H5,Do',左後腦
95,V20:H6,Si,左後腦
94,V20:H7,La,左後腦
93,V20:H8,Sol,左腦正中間
92,V20:H9,Fa,左腦正中間
91,V20:H10,Mi,左腦正中間
90,V20:H11,Re,左腦正中間
89,V20:H12,Do,左腦正中間
88,V20:H13,Do',左腦正中間
87,V20:H14,Si,左腦正中間
86,V20:H15,La,左前腦
85,V20:H16,Sol,左前腦
84,V20:H17,Fa,左前腦
83,V20:H18,Mi,左前腦
82,V20:H19,Re,左前腦
81,V20:H20,Do,左前腦
80,V20:H21,Do',左前腦
21,V21:H1,Sol,左後腦
20,V21:H2,Fa,左後腦
19,V21:H3,Mi,左後腦
18,V21:H4,Re,左後腦
17,V21:H5,Do,左後腦
16,V21:H6,Do',左後腦
15,V21:H7,Si,左後腦
14,V21:H8,La,左腦正中間
13,V21:H9,Sol,左腦正中間
12,V21:H10,Fa,左腦正中間
11,V21:H11,Mi,左腦正中間
10,V21:H12,Re,左腦正中間
9,V21:H13,Do,左腦正中間
8,V21:H14,Do',左腦正中間
7,V21:H15,Si,左前腦
6,V21:H16,La,左前腦
5,V21:H17,Sol,左前腦
4,V21:H18,Fa,左前腦
3,V21:H19,Mi,左前腦
2,V21:H20,Re,左前腦
1,V21:H21,Do,左前腦
