綠烏龜,,
第幾天,屬宮,說明
01,站在中間，面向巴比倫,建立銀河業力流地球實踐之塔
02,站在中間，面向巴比倫,建立銀河業力流地球實踐之塔
03,站在中間，面向巴比倫,建立銀河業力流地球實踐之塔
04,站在中間，面向巴比倫,建立太陽預言流地球智慧之塔
05,站在中間，面向巴比倫,建立太陽預言流地球智慧之塔
06,站在中間，面向巴比倫,建立太陽預言流地球智慧之塔
07,記憶紅龍之宮,存在啟動心智之清晰
08,靈性白風之宮,呼吸提煉心智之清晰
09,豐盛藍夜之宮,夢蛻變心智之清晰
10,開花黃種子之宮,覺察收穫心智之清晰
11,性紅蛇之宮,本能啟動精神之光
12,死亡白世界橋之宮,機會提煉精神之光
13,實現完成藍手之宮,療癒蛻變精神之光
14,藝術黃星星之宮,美麗收穫精神之光
15,淨化紅月之宮,淨化啟動意志之堅不可摧
16,愛白狗之宮,忠誠提煉意志之堅不可摧
17,魔法藍猴之宮,幻象中遊戲蛻變意志之堅不可摧
18,自由意志黃人之宮,影響收穫意志之堅不可摧
19,預言紅天行者之宮,覺醒啟動Telektonon的智慧預言
20,無時間白巫師之宮,接受提煉Telektonon的智慧預言
21,視野藍鷹之宮,心智蛻變Telektonon的智慧預言
22,智能黃戰士之宮,無懼收穫Telektonon的智慧預言
23,站在中間，面向巴比倫,"建立太陽預言流
天王星導航之塔
母體回歸"
24,站在中間，面向巴比倫,"建立太陽預言流
天王星導航之塔
母體回歸"
25,站在中間，面向巴比倫,"建立太陽預言流
天王星導航之塔
母體回歸"
26,站在中間，面向巴比倫,"建立銀河業力流
天王星靈性之塔
母體回歸"
27,站在中間，面向巴比倫,"建立銀河業力流
天王星靈性之塔
母體回歸"
28,站在中間，面向巴比倫,"建立銀河業力流
天王星靈性之塔
母體回歸"
