顯示日期,瑪雅生日,PSI印記,PSI印記,對應瑪雅年,對應星際年,對應KIN,星際流年,波符加印記,,,
08/10,01.16,11,光譜藍猴,1994,NS 1.7,249,月亮紅月,黃星星波符月亮紅月,,,
,,,,,,,,,,,
PSI印記,KIN,主印記,主印記(含波符),,,波符加印記城堡,波符加印記城堡銀河季節,調性數字,調性,圖騰數字,圖騰
PSI印記,11,光譜藍猴,紅龍波符光譜藍猴,,,紅色東方啟動城堡紅龍波符光譜藍猴,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符光譜藍猴,11,光譜,11,藍猴
支持印記,128,光譜黃星星,白鏡波符光譜黃星星,,,藍色西方蛻變城堡白鏡波符光譜黃星星,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符光譜黃星星,11,光譜,8,黃星星
擴展印記,141,光譜紅龍,藍猴波符光譜紅龍,,,藍色西方蛻變城堡藍猴波符光譜紅龍,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符光譜紅龍,11,光譜,1,紅龍
隱藏印記,250,電力白狗,黃星星波符電力白狗,,,綠色中央魔法城堡黃星星波符電力白狗,愛的白狗白色銀河季節綠色中央魔法城堡黃星星波符電力白狗,3,電力,10,白狗
引導印記,11,光譜藍猴,紅龍波符光譜藍猴,,,紅色東方啟動城堡紅龍波符光譜藍猴,愛的白狗白色銀河季節紅色東方啟動城堡紅龍波符光譜藍猴,11,光譜,11,藍猴
,,,,,,,,,,,
PSI波符,紅龍波符,,,,,,,,,,
關鍵字,KIN,主印記,對應卦象,,編碼,主題,說明,調性數字,調性,圖騰數字,圖騰
目標,1,磁性紅龍,"諧波1 
自我存在的輸入，賦予形式的盛開",,乾為天,創世起源,"宇宙之樹內，有創造的門戶
時間掌握了空間的氣息
從失落的時間間隔中，創世湧現",1,磁性,1,紅龍
挑戰,2,月亮白風,"諧波1 
自我存在的輸入，賦予形式的盛開",,乾為天,創世起源,"宇宙之樹內，有創造的門戶
時間掌握了空間的氣息
從失落的時間間隔中，創世湧現",2,月亮,2,白風
最高品質,3,電力藍夜,"諧波1 
自我存在的輸入，賦予形式的盛開",,乾為天,創世起源,"宇宙之樹內，有創造的門戶
時間掌握了空間的氣息
從失落的時間間隔中，創世湧現",3,電力,3,藍夜
服務形式,4,自我存在黃種子,"諧波1 
自我存在的輸入，賦予形式的盛開",,乾為天,創世起源,"宇宙之樹內，有創造的門戶
時間掌握了空間的氣息
從失落的時間間隔中，創世湧現",4,自我存在,4,黃種子
力量,5,超頻紅蛇,"諧波2 
銀河星系的儲存，記得完整的優雅",,澤山夬,不屈不撓,"沉默，直到光找到了它自己的聲音
防備妄想的盜賊
現在開口還太早了",5,超頻,5,紅蛇
平衡,6,韻律白世界橋,"諧波2 
銀河星系的儲存，記得完整的優雅",,澤山夬,不屈不撓,"沉默，直到光找到了它自己的聲音
防備妄想的盜賊
現在開口還太早了",6,韻律,6,白世界橋
中心,7,共振藍手,"諧波2 
銀河星系的儲存，記得完整的優雅",,澤山夬,不屈不撓,"沉默，直到光找到了它自己的聲音
防備妄想的盜賊
現在開口還太早了",7,共振,7,藍手
信念,8,銀河星系黃星星,"諧波2 
銀河星系的儲存，記得完整的優雅",,澤山夬,不屈不撓,"沉默，直到光找到了它自己的聲音
防備妄想的盜賊
現在開口還太早了",8,銀河星系,8,黃星星
意圖,9,太陽紅月,"諧波3 
水晶的作用，構建合作的自由意志",,天風姤,時間的穿透力,"合一了智慧的並且到達最遠的地平線
神聖的火花照見四季
太陽釋放出金色的呼吸環",9,太陽,9,紅月
完美,10,行星白狗,"諧波3 
水晶的作用，構建合作的自由意志",,天風姤,時間的穿透力,"合一了智慧的並且到達最遠的地平線
神聖的火花照見四季
太陽釋放出金色的呼吸環",10,行星,10,白狗
釋放,11,光譜藍猴,"諧波3 
水晶的作用，構建合作的自由意志",,天風姤,時間的穿透力,"合一了智慧的並且到達最遠的地平線
神聖的火花照見四季
太陽釋放出金色的呼吸環",11,光譜,11,藍猴
合作,12,水晶黃人,"諧波3 
水晶的作用，構建合作的自由意志",,天風姤,時間的穿透力,"合一了智慧的並且到達最遠的地平線
神聖的火花照見四季
太陽釋放出金色的呼吸環",12,水晶,12,黃人
姿態,13,宇宙紅天行者,"諧波4 
電力的輸出，表現服務的智能",,火天大有,眾人的智慧,"專注帶來更高維度的接觸
宇宙的對齊，增加了時間的知識
與地球一起呼吸，解開了結",13,宇宙,13,紅天行者
