全腦調頻,
對應腦部,調頻語
右後腦,右後腦的第 1 時間次元。啟動外部時間次元「宇宙創造」的力量。萬物的存在，都具有一個來自神性心智的相同起源。
右腦正中間,右腦正中間的第 5 時間次元，啟動「神性的陽性」的力量。透過持續高度專注的力量，來啟動超越時間與空間的超意識狀態，同時感覺你的身體右邊有一股紅色的熱能。
右前腦,"右前腦的第 3 時間次元。
揭開過去曾經被壓抑的無意識或潛意識，並試著透過這個數字頻率，去校準、修復與療癒，此刻所對應到的創傷記憶，回到和宇宙源頭共時同步的當下狀態。"
後腦正中間,"後腦正中間的第 7 時間次元，連結星際馬雅心智傳輸GM108X的動力場。
請讓自己的大腦清空，沒有觀念、沒有分析、沒有要解決的問題，讓自己全然地放鬆與專注。"
腦正中間,"大腦頭頂正中央的第 9 時間次元。
連結四個高能部分子，平衡原始的光和熱，啟動全腦活化感知體（HMP），開啟九個方舟基地的大師原型門戶，進行深度的溝通，來完成靈性的團結統一。"
前腦正中間,前腦正中間的第 8 時間次元。連結大角星的動力場，啟動全腦活化感知體（HMP）。將這個數字所帶給你的感受與能量擴大延伸，進入到天際，並全數迴向給太陽以及銀河中心 Hunab Ku，保持一顆感恩的心。
左後腦,"左後腦的第 2 時間次元。
激活具有高度專注力的持續意識，讓本我時時刻刻都保持著清醒，感受到源源不絕的宇宙之愛。"
左腦正中間,左腦正中間的第 6 時間次元，啟動「神性的陰性」的力量。以藍色的光場啟動閾下意識，與隱藏在更高維的奧秘振動頻率校準一致，來療癒那跨次元的古老創傷。
左前腦,左前腦的第 4 時間次元，啟動所有透過感官接收外界刺激與即時認知的清醒意識。透過這個數字所產生的振動能量，去具現出意圖想要完成的各種行動。   
