七價路徑,祈禱文
"紅色01
紅龍→紅蛇",存在進化了性
"白色02
紅龍→白世界橋",存在進化了死亡
"藍色03
紅龍→藍手",存在進化了知識
"黃色04
紅蛇→藍手",性喚醒了知識
"紅色05
白世界橋→藍手",死亡傳送了知識
"白色06
藍夜→黃星星",夢進化了藝術
"藍色07
藍夜→紅月",夢進化了淨化
"黃色08
藍夜→白狗",夢進化了愛
"紅色09
黃星星→白狗",藝術喚醒了愛
"白色10
紅月→白狗",淨化傳送了愛
"藍色11
白風→藍猴",心靈進化了魔法
"黃色12
白風→黃人",心靈進化了智慧
"紅色13
白風→紅天行者",心靈進化了預言
"白色14
藍猴→紅天行者",魔法喚醒了預言
"藍色15
黃人→紅天行者",智慧傳送了預言
"黃色16
黃種子→白巫師",覺知進化了永恆
"紅色17
黃種子→藍鷹",覺知進化了視野
"白色18
黃種子→黃戰士",覺知進化了智能
"藍色19
白巫師→黃戰士",永恆喚醒了智能
"黃色20
藍鷹→黃戰士",視野傳送了智能
"紅色21
白鏡→藍手",靜心進化了知識
"白色22
藍風暴→白狗",自然運生進化了愛
"藍色23
黃太陽→紅天行者",證悟進化了預言
"黃色24
紅地球→黃戰士",導航進化了智能
"紅色25
紅地球→白鏡",導航共時了靜心
"白色26
白鏡→藍風暴",靜心反映了自然運生
"藍色27
藍風暴→黃太陽",自然運生促進證悟的催化
"黃色28
黃太陽→紅地球",證悟啟發了導航
"紅色29
Hunab Ku→紅地球",銀河中心Hunab Ku傳送導航
"白色30
Hunab Ku→白鏡",銀河中心Hunab Ku傳送靜心
"藍色31
Hunab Ku→藍風暴",銀河中心Hunab Ku傳送自然運生
"黃色32
Hunab Ku→黃太陽",銀河中心Hunab Ku傳送證悟
"紅色33
紅蛇→紅地球",性為導航充電
"白色34
紅地球→黃人",導航為智慧充電
"藍色35
白世界橋→藍風暴",死亡為自然運生充電
"黃色36
藍風暴→藍猴",自然運生為魔法充電
"紅色37
黃星星→白鏡",藝術穩定了靜心
"白色38
白鏡→藍鷹",靜心穩定了視野
"藍色39
紅月→黃太陽",淨化穩定了證悟
"黃色40
黃太陽→白巫師",證悟穩定了永恆
"紅色41
紅蛇→藍鷹",性促成視野的光譜化
"白色42
白世界橋→黃星星",死亡促成藝術的光譜化
"藍色43
紅月→藍猴",淨化促成魔法的光譜化
"黃色44
黃人→白巫師",智慧促成永恆的光譜化
"紅色45
白鏡→紅蛇",靜心傳送了對性的反思
"白色46
白鏡→白世界橋",靜心傳送了對死亡的反思
"藍色47
藍風暴→黃星星",自然運生傳送了對藝術的動能
"黃色48
藍風暴→紅月",自然運生傳送了對淨化的動能
"紅色49
黃太陽→藍猴",證悟傳送了魔法的宇宙之火
"白色50
黃太陽→黃人",證悟傳送了智慧的宇宙之火
"藍色51
紅地球→白巫師",導航傳送了永恆的共時性
"黃色52
紅地球→藍鷹",導航傳送了視野的共時性
