女神印記,KIN,主印記,主印記(含波符),,,波符加印記城堡,波符加印記城堡銀河季節,調性數字,調性,圖騰數字,圖騰
女神印記,130,宇宙白狗,白鏡波符宇宙白狗,,,藍色西方蛻變城堡白鏡波符宇宙白狗,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符宇宙白狗,13,宇宙,10,白狗
支持印記,169,宇宙紅月,紅地球波符宇宙紅月,,,黃色南方給予城堡紅地球波符宇宙紅月,開悟黃太陽黃色銀河季節黃色南方給予城堡紅地球波符宇宙紅月,13,宇宙,9,紅月
擴展印記,260,宇宙黃太陽,黃星星波符宇宙黃太陽,,,綠色中央魔法城堡黃星星波符宇宙黃太陽,愛的白狗白色銀河季節綠色中央魔法城堡黃星星波符宇宙黃太陽,13,宇宙,20,黃太陽
隱藏印記,131,磁性藍猴,藍猴波符磁性藍猴,,,藍色西方蛻變城堡藍猴波符磁性藍猴,開悟黃太陽黃色銀河季節藍色西方蛻變城堡藍猴波符磁性藍猴,1,磁性,11,藍猴
引導印記,234,宇宙白巫師,白風波符宇宙白巫師,,,綠色中央魔法城堡白風波符宇宙白巫師,生命力紅蛇紅色銀河季節綠色中央魔法城堡白風波符宇宙白巫師,13,宇宙,14,白巫師
,,,,,,,,,,,
,,,,,,,,,,,
女神印記波符,白鏡波符,,,,,,,,,,
,KIN,主印記,關鍵字,諧波,對應卦象,主題,說明,調性數字,調性,圖騰數字,圖騰
,118,磁性白鏡,目標,"諧波30
電力的母體矩陣，自我調整服務的宇宙之火",地澤臨,巫師之志,"穿越天際的旅程，教導降臨到地球
鏡像維度反映了內部空間
如同看見湖水中倒映的雲",1,磁性,18,白鏡
,119,月亮藍風暴,挑戰,"諧波30
電力的母體矩陣，自我調整服務的宇宙之火",地澤臨,巫師之志,"穿越天際的旅程，教導降臨到地球
鏡像維度反映了內部空間
如同看見湖水中倒映的雲",2,月亮,19,藍風暴
,120,電力黃太陽,最高品質,"諧波30
電力的母體矩陣，自我調整服務的宇宙之火",地澤臨,巫師之志,"穿越天際的旅程，教導降臨到地球
鏡像維度反映了內部空間
如同看見湖水中倒映的雲",3,電力,20,黃太陽
,121,自我存在紅龍,服務形式,"諧波31 
共鳴的輸入，賦予協調的盛開",山水蒙,再次聆聽,"聆聽創造的多維度真言
樹用內在年輪保留了時間
刺穿感官的窄門",4,自我存在,1,紅龍
,122,超頻白風,力量,"諧波31 
共鳴的輸入，賦予協調的盛開",山水蒙,再次聆聽,"聆聽創造的多維度真言
樹用內在年輪保留了時間
刺穿感官的窄門",5,超頻,2,白風
,123,韻律藍夜,平衡,"諧波31 
共鳴的輸入，賦予協調的盛開",山水蒙,再次聆聽,"聆聽創造的多維度真言
樹用內在年輪保留了時間
刺穿感官的窄門",6,韻律,3,藍夜
,124,共振黃種子,中心,"諧波31 
共鳴的輸入，賦予協調的盛開",山水蒙,再次聆聽,"聆聽創造的多維度真言
樹用內在年輪保留了時間
刺穿感官的窄門",7,共振,4,黃種子
,125,銀河星系紅蛇,信念,"諧波32
光譜的儲存，記得解脫的優雅",天火同人,同心協力之眾人,"一個太陽水晶升起—眾人跟隨的標誌
一顆遠古星星之美由其思想而生
眾人聚集在村莊廣場",8,銀河星系,5,紅蛇
,126,太陽白世界橋,意圖,"諧波32
光譜的儲存，記得解脫的優雅",天火同人,同心協力之眾人,"一個太陽水晶升起—眾人跟隨的標誌
一顆遠古星星之美由其思想而生
眾人聚集在村莊廣場",9,太陽,6,白世界橋
,127,行星藍手,完美,"諧波32
光譜的儲存，記得解脫的優雅",天火同人,同心協力之眾人,"一個太陽水晶升起—眾人跟隨的標誌
一顆遠古星星之美由其思想而生
眾人聚集在村莊廣場",10,行星,7,藍手
,128,光譜黃星星,釋放,"諧波32
光譜的儲存，記得解脫的優雅",天火同人,同心協力之眾人,"一個太陽水晶升起—眾人跟隨的標誌
一顆遠古星星之美由其思想而生
眾人聚集在村莊廣場",11,光譜,8,黃星星
,129,水晶紅月,合作,"諧波33
月亮的作用，構建挑戰的自由意志",#N/A,#N/A,#N/A,12,水晶,9,紅月
,130,宇宙白狗,姿態,"諧波33
月亮的作用，構建挑戰的自由意志",#N/A,#N/A,#N/A,13,宇宙,10,白狗
